business_postal_code_1,inspection_id,inspection_date,inspection_score,violation_description,risk_category,neighborhoods,Current Police Districts,population,avg_income
94103,62532_20180320,March,85,Moderate risk food holding temperature,Moderate Risk,53,3,"23,016","$31,131.00 "
94133,6962_20190430,April,69,Contaminated or adulterated food,High Risk,104,6,"26,827","$40,990.00 "
94132,5948_20170214,February,94,Inadequate procedures or records for time as a public health control,Moderate Risk,43,10,"26,291","$55,000.00 "
94121,551_20161107,November,81,Moderate risk food holding temperature,Moderate Risk,8,8,"42,473","$61,776.00 "
94114,1626_20190423,April,88,Foods not protected from contamination,Moderate Risk,84,3,"30,574","$75,727.00 "
94133,845_20190529,May,92,Moderate risk food holding temperature,Moderate Risk,106,6,"26,827","$40,990.00 "
94121,40217_20170324,March,83,Unclean or unsanitary food contact surfaces,High Risk,8,8,"42,473","$61,776.00 "
94102,59041_20180813,August,94,Foods not protected from contamination,Moderate Risk,21,4,"28,991","$22,351.00 "
94131,2664_20171031,October,88,Food safety certificate or food handler card not available,Low Risk,84,9,"27,897","$76,044.00 "
94110,21807_20190130,January,75,Employee eating or smoking,Moderate Risk,83,9,"74,633","$53,795.00 "
94110,64007_20161014,October,94,Unclean or degraded floors walls or ceilings,Low Risk,83,9,"74,633","$53,795.00 "
94107,5823_20170208,February,89,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,54,2,"17,368","$61,362.00 "
94102,39937_20170913,September,98,Improper storage of equipment utensils or linens,Low Risk,21,4,"28,991","$22,351.00 "
94121,40217_20170324,March,83,Moderate risk vermin infestation,Moderate Risk,8,8,"42,473","$61,776.00 "
94121,27949_20180212,February,84,Foods not protected from contamination,Moderate Risk,8,8,"42,473","$61,776.00 "
94115,6904_20180926,September,96,Unapproved or unmaintained equipment or utensils,Low Risk,102,4,"33,115","$54,879.00 "
94118,1203_20190814,August,83,Improper thawing methods,Moderate Risk,5,8,"38,939","$61,609.00 "
94124,62597_20180814,August,77,Inadequate and inaccessible handwashing facilities,Moderate Risk,87,2,"33,170","$37,146.00 "
94116,1921_20190703,July,79,Foods not protected from contamination,Moderate Risk,40,10,"42,958","$66,627.00 "
94104,1870_20181031,October,88,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,108,6,374,"$14,609.00 "
94103,15120_20190906,September,89,Unclean hands or improper use of gloves,High Risk,32,5,"23,016","$31,131.00 "
94111,226_20190205,February,84,Unapproved or unmaintained equipment or utensils,Low Risk,77,6,"3,335","$56,569.00 "
94105,3859_20190221,February,81,Unclean or degraded floors walls or ceilings,Low Risk,32,1,"2,058","$88,976.00 "
94114,25777_20170721,July,85,Food safety certificate or food handler card not available,Low Risk,37,3,"30,574","$75,727.00 "
94115,6500_20180717,July,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,102,8,"33,115","$54,879.00 "
94102,3056_20180402,April,94,Foods not protected from contamination,Moderate Risk,19,5,"28,991","$22,351.00 "
94111,10083_20190426,April,86,No person in charge of food facility,Low Risk,108,6,"3,335","$56,569.00 "
94121,876_20180531,May,86,Moderate risk food holding temperature,Moderate Risk,8,8,"42,473","$61,776.00 "
94114,4483_20190903,September,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,84,3,"30,574","$75,727.00 "
94103,9155_20161006,October,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,54,1,"23,016","$31,131.00 "
94115,40216_20180717,July,75,Unapproved or unmaintained equipment or utensils,Low Risk,101,4,"33,115","$54,879.00 "
94123,2063_20180731,July,84,Inadequate and inaccessible handwashing facilities,Moderate Risk,17,4,"22,903","$84,710.00 "
94102,3665_20180208,February,88,Moderate risk vermin infestation,Moderate Risk,32,1,"28,991","$22,351.00 "
94117,1880_20190919,September,90,Moderate risk vermin infestation,Moderate Risk,40,10,"38,758","$63,983.00 "
94116,3167_20180613,June,59,Unclean or degraded floors walls or ceilings,Low Risk,40,10,"42,958","$66,627.00 "
94108,3016_20161114,November,62,Improper thawing methods,Moderate Risk,104,6,"13,716","$31,542.00 "
94115,7764_20190206,February,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,101,4,"33,115","$54,879.00 "
94110,1797_20190319,March,88,Inadequate ventilation or lighting,Low Risk,53,3,"74,633","$53,795.00 "
94102,39295_20180207,February,94,Unclean or degraded floors walls or ceilings,Low Risk,20,5,"28,991","$22,351.00 "
94121,2596_20181023,October,85,Unclean hands or improper use of gloves,High Risk,8,8,"42,473","$61,776.00 "
94102,7512_20190821,August,86,Unapproved or unmaintained equipment or utensils,Low Risk,20,5,"28,991","$22,351.00 "
94105,17689_20170905,September,74,Unclean or unsanitary food contact surfaces,High Risk,32,1,"2,058","$88,976.00 "
94107,1527_20180509,May,90,Improper food labeling or menu misrepresentation,Low Risk,32,1,"17,368","$61,362.00 "
94111,63773_20190311,March,80,Unclean nonfood contact surfaces,Low Risk,108,6,"3,335","$56,569.00 "
94110,4797_20171130,November,86,Moderate risk vermin infestation,Moderate Risk,61,9,"74,633","$53,795.00 "
94110,5301_20190304,March,81,Unapproved or unmaintained equipment or utensils,Low Risk,53,3,"74,633","$53,795.00 "
94108,37231_20181226,December,64,Improper storage use or identification of toxic substances,Low Risk,104,6,"13,716","$31,542.00 "
94102,37732_20170830,August,90,Low risk vermin infestation,Low Risk,20,5,"28,991","$22,351.00 "
94131,5180_20170207,February,85,Food safety certificate or food handler card not available,Low Risk,84,9,"27,897","$76,044.00 "
94110,1249_20171002,October,78,Unclean hands or improper use of gloves,High Risk,53,3,"74,633","$53,795.00 "
94132,5817_20171003,October,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,43,10,"26,291","$55,000.00 "
94110,2358_20190807,August,89,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"74,633","$53,795.00 "
94102,37344_20180524,May,71,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,21,5,"28,991","$22,351.00 "
94110,4922_20171120,November,87,Moderate risk vermin infestation,Moderate Risk,53,3,"74,633","$53,795.00 "
94118,7711_20190129,January,88,Foods not protected from contamination,Moderate Risk,5,8,"38,939","$61,609.00 "
94104,164_20190813,August,96,Moderate risk food holding temperature,Moderate Risk,19,6,374,"$14,609.00 "
94104,24_20171101,November,98,Improper food storage,Low Risk,108,6,374,"$14,609.00 "
94110,1000_20171002,October,74,Improper food storage,Low Risk,53,3,"74,633","$53,795.00 "
94134,35340_20180207,February,93,Unclean or unsanitary food contact surfaces,High Risk,92,2,"40,134","$54,342.00 "
94107,811_20190326,March,58,High risk food holding temperature,High Risk,32,1,"17,368","$61,362.00 "
94112,64612_20190506,May,85,Unapproved or unmaintained equipment or utensils,Low Risk,90,9,"73,104","$57,629.00 "
94109,3048_20180525,May,92,Foods not protected from contamination,Moderate Risk,105,4,"56,322","$43,444.00 "
94122,10990_20161114,November,84,Inadequate and inaccessible handwashing facilities,Moderate Risk,39,10,"55,492","$60,733.00 "
94116,60518_20170824,August,78,Unclean or degraded floors walls or ceilings,Low Risk,40,10,"42,958","$66,627.00 "
94112,5196_20190805,August,87,Insufficient hot water or running water,Moderate Risk,90,9,"73,104","$57,629.00 "
94108,33712_20171129,November,84,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,104,6,"13,716","$31,542.00 "
94114,2676_20190626,June,89,High risk food holding temperature,High Risk,84,3,"30,574","$75,727.00 "
94122,62330_20180131,January,87,Improper or defective plumbing,Low Risk,39,10,"55,492","$60,733.00 "
94133,3895_20170824,August,76,Unclean or unsanitary food contact surfaces,High Risk,106,6,"26,827","$40,990.00 "
94110,1727_20190805,August,92,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94102,35106_20170223,February,86,Insufficient hot water or running water,Moderate Risk,21,5,"28,991","$22,351.00 "
94109,703_20180417,April,73,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20,5,"56,322","$43,444.00 "
94114,3834_20170209,February,90,Unclean or degraded floors walls or ceilings,Low Risk,28,3,"30,574","$75,727.00 "
94133,884_20181205,December,90,Foods not protected from contamination,Moderate Risk,104,6,"26,827","$40,990.00 "
94103,23068_20171011,October,80,High risk vermin infestation,High Risk,53,3,"23,016","$31,131.00 "
94118,19076_20180411,April,81,Improper storage of equipment utensils or linens,Low Risk,5,8,"38,939","$61,609.00 "
94110,64717_20180228,February,92,Moderate risk vermin infestation,Moderate Risk,37,3,"74,633","$53,795.00 "
94102,2799_20190524,May,98,Permit license or inspection report not posted,Low Risk,19,5,"28,991","$22,351.00 "
94110,2335_20180612,June,90,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94118,3248_20180725,July,92,Insufficient hot water or running water,Moderate Risk,4,8,"38,939","$61,609.00 "
94133,3817_20171129,November,88,Improper or defective plumbing,Low Risk,104,6,"26,827","$40,990.00 "
94112,7643_20170309,March,67,High risk vermin infestation,High Risk,66,9,"73,104","$57,629.00 "
94110,59397_20161017,October,94,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94115,37390_20180427,April,78,Other low risk violation,Low Risk,97,4,"33,115","$54,879.00 "
94117,1347_20181106,November,92,Unclean or degraded floors walls or ceilings,Low Risk,29,7,"38,758","$63,983.00 "
94116,3196_20180924,September,96,Unclean or degraded floors walls or ceilings,Low Risk,40,10,"42,958","$66,627.00 "
94118,6768_20190517,May,88,Moderate risk food holding temperature,Moderate Risk,5,8,"38,939","$61,609.00 "
94121,3229_20181003,October,88,Inadequate and inaccessible handwashing facilities,Moderate Risk,8,8,"42,473","$61,776.00 "
94124,208_20181030,October,90,Food safety certificate or food handler card not available,Low Risk,86,2,"33,170","$37,146.00 "
94127,19138_20190204,February,82,Inadequate and inaccessible handwashing facilities,Moderate Risk,68,10,"20,624","$95,313.00 "
94117,62051_20190509,May,88,Unapproved or unmaintained equipment or utensils,Low Risk,25,7,"38,758","$63,983.00 "
94108,500_20190201,February,83,Improper storage of equipment utensils or linens,Low Risk,19,6,"13,716","$31,542.00 "
94103,19416_20171122,November,94,Unclean nonfood contact surfaces,Low Risk,32,5,"23,016","$31,131.00 "
94111,3122_20180607,June,79,Improper food storage,Low Risk,108,6,"3,335","$56,569.00 "
94105,36205_20190403,April,86,Food safety certificate or food handler card not available,Low Risk,32,1,"2,058","$88,976.00 "
94114,38070_20181026,October,82,Moderate risk vermin infestation,Moderate Risk,28,7,"30,574","$75,727.00 "
94133,6620_20170809,August,88,Unapproved or unmaintained equipment or utensils,Low Risk,104,6,"26,827","$40,990.00 "
94102,1813_20190213,February,78,Moderate risk food holding temperature,Moderate Risk,50,6,"28,991","$22,351.00 "
94121,606_20180724,July,81,Improper storage of equipment utensils or linens,Low Risk,8,8,"42,473","$61,776.00 "
94121,3951_20170920,September,79,High risk vermin infestation,High Risk,8,8,"42,473","$61,776.00 "
94114,20327_20171107,November,83,Moderate risk vermin infestation,Moderate Risk,84,3,"30,574","$75,727.00 "
94109,2843_20190128,January,72,Moderate risk vermin infestation,Moderate Risk,50,6,"56,322","$43,444.00 "
94105,61602_20170330,March,90,Moderate risk food holding temperature,Moderate Risk,32,1,"2,058","$88,976.00 "
94110,2447_20170322,March,96,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94103,3394_20190905,September,90,Low risk vermin infestation,Low Risk,32,5,"23,016","$31,131.00 "
94118,2548_20171030,October,85,Unauthorized or unsafe use of time as a public health control measure,High Risk,11,8,"38,939","$61,609.00 "
94105,33448_20190711,July,91,High risk food holding temperature,High Risk,108,6,"2,058","$88,976.00 "
94110,7119_20190319,March,72,Unclean nonfood contact surfaces,Low Risk,53,3,"74,633","$53,795.00 "
94109,318_20190611,June,94,Low risk vermin infestation,Low Risk,17,4,"56,322","$43,444.00 "
94123,4716_20180307,March,87,Unclean nonfood contact surfaces,Low Risk,15,4,"22,903","$84,710.00 "
94103,37350_20190412,April,94,Improper storage of equipment utensils or linens,Low Risk,32,5,"23,016","$31,131.00 "
94109,1734_20170616,June,81,Unclean or degraded floors walls or ceilings,Low Risk,20,5,"56,322","$43,444.00 "
94108,3014_20171206,December,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,104,6,"13,716","$31,542.00 "
94121,5963_20190920,September,98,Low risk vermin infestation,Low Risk,8,8,"42,473","$61,776.00 "
94114,60445_20161122,November,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,38,3,"30,574","$75,727.00 "
94133,34220_20171006,October,96,Inadequate ventilation or lighting,Low Risk,99,6,"26,827","$40,990.00 "
94122,1912_20190305,March,90,Moderate risk food holding temperature,Moderate Risk,39,10,"55,492","$60,733.00 "
94114,1280_20180327,March,92,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,28,7,"30,574","$75,727.00 "
94133,6965_20181219,December,86,Improper food storage,Low Risk,104,6,"26,827","$40,990.00 "
94109,60473_20190228,February,79,Inadequate dressing rooms or improper storage of personal items,Low Risk,20,5,"56,322","$43,444.00 "
94124,39403_20170110,January,86,Improper food storage,Low Risk,87,2,"33,170","$37,146.00 "
94121,5834_20170206,February,94,Unapproved or unmaintained equipment or utensils,Low Risk,8,8,"42,473","$61,776.00 "
94103,2737_20170725,July,90,Improper food storage,Low Risk,32,1,"23,016","$31,131.00 "
94102,286_20190220,February,83,Food safety certificate or food handler card not available,Low Risk,20,5,"28,991","$22,351.00 "
94104,33056_20170912,September,85,Inadequate warewashing facilities or equipment,Low Risk,108,6,374,"$14,609.00 "
94117,2907_20171204,December,83,High risk vermin infestation,High Risk,12,7,"38,758","$63,983.00 "
94121,2279_20190207,February,90,Improper storage of equipment utensils or linens,Low Risk,5,8,"42,473","$61,776.00 "
94103,10332_20181127,November,75,Moderate risk vermin infestation,Moderate Risk,32,1,"23,016","$31,131.00 "
94103,4531_20190708,July,92,Improper or defective plumbing,Low Risk,32,1,"23,016","$31,131.00 "
94133,37151_20171206,December,92,Improper or defective plumbing,Low Risk,104,6,"26,827","$40,990.00 "
94104,59833_20170110,January,69,Improper cooling methods,High Risk,108,6,374,"$14,609.00 "
94122,1304_20190821,August,89,High risk food holding temperature,High Risk,109,10,"55,492","$60,733.00 "
94103,63601_20161007,October,80,Food safety certificate or food handler card not available,Low Risk,32,1,"23,016","$31,131.00 "
94105,13623_20190110,January,83,Unclean or unsanitary food contact surfaces,High Risk,32,1,"2,058","$88,976.00 "
94103,59934_20180212,February,92,Insufficient hot water or running water,Moderate Risk,32,1,"23,016","$31,131.00 "
94127,2808_20170621,June,81,Improper food storage,Low Risk,67,10,"20,624","$95,313.00 "
94109,29610_20181009,October,66,Inadequate and inaccessible handwashing facilities,Moderate Risk,20,5,"56,322","$43,444.00 "
94102,286_20180906,September,84,Unclean or degraded floors walls or ceilings,Low Risk,20,5,"28,991","$22,351.00 "
94110,2749_20170601,June,92,Low risk vermin infestation,Low Risk,83,9,"74,633","$53,795.00 "
94115,61056_20190301,March,87,Unapproved or unmaintained equipment or utensils,Low Risk,102,4,"33,115","$54,879.00 "
94110,2659_20180327,March,77,Foods not protected from contamination,Moderate Risk,83,9,"74,633","$53,795.00 "
94110,3870_20180105,January,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,83,9,"74,633","$53,795.00 "
94132,187_20170210,February,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,42,10,"26,291","$55,000.00 "
94109,63897_20190710,July,88,Unclean or degraded floors walls or ceilings,Low Risk,105,4,"56,322","$43,444.00 "
94105,38201_20170822,August,92,Inadequate dressing rooms or improper storage of personal items,Low Risk,32,1,"2,058","$88,976.00 "
94121,37882_20180316,March,86,Other low risk violation,Low Risk,8,8,"42,473","$61,776.00 "
94116,4986_20180122,January,88,Moderate risk food holding temperature,Moderate Risk,40,10,"42,958","$66,627.00 "
94102,59178_20161102,November,79,Unclean nonfood contact surfaces,Low Risk,19,5,"28,991","$22,351.00 "
94118,37656_20180710,July,96,Unclean nonfood contact surfaces,Low Risk,5,8,"38,939","$61,609.00 "
94108,34611_20190107,January,74,Moderate risk vermin infestation,Moderate Risk,104,6,"13,716","$31,542.00 "
94104,76_20161005,October,98,Unclean or degraded floors walls or ceilings,Low Risk,108,6,374,"$14,609.00 "
94107,413_20181017,October,74,Inadequate and inaccessible handwashing facilities,Moderate Risk,54,2,"17,368","$61,362.00 "
94111,3122_20180607,June,79,Moderate risk food holding temperature,Moderate Risk,108,6,"3,335","$56,569.00 "
94112,60628_20190521,May,92,Improper or defective plumbing,Low Risk,58,9,"73,104","$57,629.00 "
94112,2189_20170925,September,77,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,90,9,"73,104","$57,629.00 "
94111,33054_20180618,June,93,High risk food holding temperature,High Risk,106,6,"3,335","$56,569.00 "
94124,59638_20170626,June,88,Insufficient hot water or running water,Moderate Risk,82,2,"33,170","$37,146.00 "
94102,10438_20170901,September,92,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,50,6,"28,991","$22,351.00 "
94127,3678_20180725,July,96,Unclean or degraded floors walls or ceilings,Low Risk,72,9,"20,624","$95,313.00 "
94110,37304_20180103,January,76,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,61,9,"74,633","$53,795.00 "
94110,63940_20170202,February,88,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94109,3309_20180815,August,81,Improper thawing methods,Moderate Risk,100,4,"56,322","$43,444.00 "
94108,34611_20161212,December,83,Inadequate procedures or records for time as a public health control,Moderate Risk,104,6,"13,716","$31,542.00 "
94107,2145_20170808,August,84,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,32,1,"17,368","$61,362.00 "
94121,3206_20190520,May,88,Inadequate dressing rooms or improper storage of personal items,Low Risk,8,8,"42,473","$61,776.00 "
94112,5096_20170203,February,94,Improper storage of equipment utensils or linens,Low Risk,80,9,"73,104","$57,629.00 "
94122,538_20170927,September,88,Low risk vermin infestation,Low Risk,39,10,"55,492","$60,733.00 "
94112,4859_20180416,April,88,Insufficient hot water or running water,Moderate Risk,66,10,"73,104","$57,629.00 "
94108,121_20190308,March,90,Noncompliance with HAACP plan or variance,Moderate Risk,19,6,"13,716","$31,542.00 "
94133,3437_20170717,July,86,Improper cooling methods,High Risk,99,6,"26,827","$40,990.00 "
94133,6619_20181219,December,100,Improper storage of equipment utensils or linens,Low Risk,104,6,"26,827","$40,990.00 "
94133,59727_20161227,December,86,Improper thawing methods,Moderate Risk,99,6,"26,827","$40,990.00 "
94107,24534_20170111,January,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,32,1,"17,368","$61,362.00 "
94105,11304_20180116,January,96,Unclean nonfood contact surfaces,Low Risk,30,1,"2,058","$88,976.00 "
94114,1609_20180425,April,76,Unclean or unsanitary food contact surfaces,High Risk,84,3,"30,574","$75,727.00 "
94108,4607_20171108,November,85,High risk vermin infestation,High Risk,104,6,"13,716","$31,542.00 "
94131,2684_20190107,January,84,Improper storage of equipment utensils or linens,Low Risk,84,9,"27,897","$76,044.00 "
94102,37344_20170214,February,77,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,21,5,"28,991","$22,351.00 "
94134,3862_20190311,March,65,Unclean hands or improper use of gloves,High Risk,91,2,"40,134","$54,342.00 "
94121,62765_20190318,March,78,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,8,8,"42,473","$61,776.00 "
94109,2336_20170825,August,86,Inadequate ventilation or lighting,Low Risk,105,4,"56,322","$43,444.00 "
94111,13831_20171115,November,83,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,108,6,"3,335","$56,569.00 "
94118,7558_20190419,April,87,Improper thawing methods,Moderate Risk,5,8,"38,939","$61,609.00 "
94109,11365_20180425,April,98,Unclean or degraded floors walls or ceilings,Low Risk,21,5,"56,322","$43,444.00 "
94105,60208_20170303,March,88,No thermometers or uncalibrated thermometers,Low Risk,108,6,"2,058","$88,976.00 "
94131,11610_20161227,December,90,Insufficient hot water or running water,Moderate Risk,59,9,"27,897","$76,044.00 "
94109,1146_20180223,February,77,Inadequate and inaccessible handwashing facilities,Moderate Risk,105,4,"56,322","$43,444.00 "
94102,5985_20170131,January,98,Food safety certificate or food handler card not available,Low Risk,20,5,"28,991","$22,351.00 "
94107,3456_20180208,February,71,Unclean or unsanitary food contact surfaces,High Risk,32,1,"17,368","$61,362.00 "
94115,54_20170215,February,87,Moderate risk food holding temperature,Moderate Risk,103,4,"33,115","$54,879.00 "
94118,36730_20180131,January,96,Other low risk violation,Low Risk,5,8,"38,939","$61,609.00 "
94105,64454_20181213,December,82,Foods not protected from contamination,Moderate Risk,108,6,"2,058","$88,976.00 "
94133,59727_20180821,August,82,Improper thawing methods,Moderate Risk,99,6,"26,827","$40,990.00 "
94103,2437_20190225,February,88,Improper food storage,Low Risk,32,1,"23,016","$31,131.00 "
94134,4798_20190412,April,84,Unclean or degraded floors walls or ceilings,Low Risk,74,9,"40,134","$54,342.00 "
94102,3482_20170407,April,79,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,19,6,"28,991","$22,351.00 "
94117,2325_20181128,November,88,Unclean or degraded floors walls or ceilings,Low Risk,25,7,"38,758","$63,983.00 "
94103,63757_20170329,March,85,High risk food holding temperature,High Risk,32,5,"23,016","$31,131.00 "
94124,5897_20181025,October,91,Unapproved or unmaintained equipment or utensils,Low Risk,88,2,"33,170","$37,146.00 "
94110,1008_20190403,April,66,High risk vermin infestation,High Risk,53,3,"74,633","$53,795.00 "
94114,63016_20190812,August,86,Unclean nonfood contact surfaces,Low Risk,84,3,"30,574","$75,727.00 "
94102,1232_20171023,October,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,19,5,"28,991","$22,351.00 "
94108,36473_20181206,December,92,Improper or defective plumbing,Low Risk,104,6,"13,716","$31,542.00 "
94133,3444_20190529,May,90,Low risk vermin infestation,Low Risk,99,6,"26,827","$40,990.00 "
94103,1674_20161021,October,87,Inadequate and inaccessible handwashing facilities,Moderate Risk,32,5,"23,016","$31,131.00 "
94110,7214_20161228,December,94,Improper food labeling or menu misrepresentation,Low Risk,53,3,"74,633","$53,795.00 "
94102,34839_20190301,March,67,Unclean nonfood contact surfaces,Low Risk,20,4,"28,991","$22,351.00 "
94108,37231_20190826,August,77,Foods not protected from contamination,Moderate Risk,104,6,"13,716","$31,542.00 "
94109,3304_20180711,July,69,Food safety certificate or food handler card not available,Low Risk,100,4,"56,322","$43,444.00 "
94103,27964_20190531,May,94,Unapproved or unmaintained equipment or utensils,Low Risk,37,3,"23,016","$31,131.00 "
94134,35199_20180201,February,80,Inadequate and inaccessible handwashing facilities,Moderate Risk,91,2,"40,134","$54,342.00 "
94118,19076_20190516,May,85,Unclean nonfood contact surfaces,Low Risk,5,8,"38,939","$61,609.00 "
94108,415_20190517,May,96,Moderate risk food holding temperature,Moderate Risk,19,6,"13,716","$31,542.00 "
94118,64176_20190305,March,79,Inadequate and inaccessible handwashing facilities,Moderate Risk,5,8,"38,939","$61,609.00 "
94122,7755_20170816,August,92,Unclean or degraded floors walls or ceilings,Low Risk,109,10,"55,492","$60,733.00 "
94117,40001_20190419,April,91,Unclean or unsanitary food contact surfaces,High Risk,24,7,"38,758","$63,983.00 "
94118,7711_20170628,June,79,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,5,8,"38,939","$61,609.00 "
94104,63493_20190613,June,83,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,19,6,374,"$14,609.00 "
94110,36024_20180521,May,90,Improper food labeling or menu misrepresentation,Low Risk,53,3,"74,633","$53,795.00 "
94123,19357_20180116,January,69,High risk vermin infestation,High Risk,17,4,"22,903","$84,710.00 "
94122,1970_20190718,July,79,Unclean nonfood contact surfaces,Low Risk,39,10,"55,492","$60,733.00 "
94108,2970_20170823,August,98,Inadequate warewashing facilities or equipment,Low Risk,104,6,"13,716","$31,542.00 "
94103,2437_20190916,September,85,Inadequate dressing rooms or improper storage of personal items,Low Risk,32,1,"23,016","$31,131.00 "
94118,1922_20190417,April,86,Improper thawing methods,Moderate Risk,5,8,"38,939","$61,609.00 "
94124,935_20171023,October,92,Moderate risk food holding temperature,Moderate Risk,87,2,"33,170","$37,146.00 "
94103,4923_20190904,September,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,32,1,"23,016","$31,131.00 "
94102,64236_20161025,October,90,No thermometers or uncalibrated thermometers,Low Risk,50,6,"28,991","$22,351.00 "
94103,18800_20171213,December,92,Moderate risk food holding temperature,Moderate Risk,32,1,"23,016","$31,131.00 "
94122,2292_20190716,July,86,Improper food storage,Low Risk,39,10,"55,492","$60,733.00 "
94107,34728_20161213,December,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,31,1,"17,368","$61,362.00 "
94110,18047_20170126,January,72,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,53,3,"74,633","$53,795.00 "
94103,3649_20190701,July,92,Unapproved or unmaintained equipment or utensils,Low Risk,53,3,"23,016","$31,131.00 "
94109,5179_20171024,October,89,Low risk vermin infestation,Low Risk,20,5,"56,322","$43,444.00 "
94103,3613_20180522,May,92,Moderate risk vermin infestation,Moderate Risk,54,3,"23,016","$31,131.00 "
94118,1191_20170202,February,92,Unapproved or unmaintained equipment or utensils,Low Risk,5,8,"38,939","$61,609.00 "
94110,4959_20180718,July,86,Foods not protected from contamination,Moderate Risk,53,3,"74,633","$53,795.00 "
94112,827_20190416,April,83,Improper cooling methods,High Risk,90,9,"73,104","$57,629.00 "
94121,3165_20180507,May,77,Unapproved or unmaintained equipment or utensils,Low Risk,8,8,"42,473","$61,776.00 "
94110,33935_20180509,May,88,Food safety certificate or food handler card not available,Low Risk,83,9,"74,633","$53,795.00 "
94115,38442_20181015,October,63,Unclean or degraded floors walls or ceilings,Low Risk,103,4,"33,115","$54,879.00 "
94112,59651_20170810,August,81,Unclean or degraded floors walls or ceilings,Low Risk,90,9,"73,104","$57,629.00 "
94109,29610_20181009,October,66,Unclean or degraded floors walls or ceilings,Low Risk,20,5,"56,322","$43,444.00 "
94103,37038_20190522,May,90,Inadequate procedures or records for time as a public health control,Moderate Risk,54,1,"23,016","$31,131.00 "
94109,3048_20171120,November,83,Unclean nonfood contact surfaces,Low Risk,105,4,"56,322","$43,444.00 "
94109,302_20180709,July,94,Unapproved or unmaintained equipment or utensils,Low Risk,20,6,"56,322","$43,444.00 "
94109,6654_20190405,April,81,Unapproved or unmaintained equipment or utensils,Low Risk,20,5,"56,322","$43,444.00 "
94122,589_20190723,July,81,High risk food holding temperature,High Risk,39,10,"55,492","$60,733.00 "
94107,2156_20171121,November,90,Improper food storage,Low Risk,54,2,"17,368","$61,362.00 "
94103,2995_20190305,March,85,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,32,1,"23,016","$31,131.00 "
94102,3496_20161202,December,92,Unapproved or unmaintained equipment or utensils,Low Risk,50,6,"28,991","$22,351.00 "
94115,62900_20190226,February,83,Inadequate and inaccessible handwashing facilities,Moderate Risk,103,4,"33,115","$54,879.00 "
94110,18047_20170126,January,72,Improper food storage,Low Risk,53,3,"74,633","$53,795.00 "
94134,3478_20171106,November,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,91,2,"40,134","$54,342.00 "
94110,5257_20190911,September,82,Insufficient hot water or running water,Moderate Risk,53,3,"74,633","$53,795.00 "
94102,60355_20190715,July,74,No thermometers or uncalibrated thermometers,Low Risk,20,5,"28,991","$22,351.00 "
94122,961_20190709,July,92,Unclean or degraded floors walls or ceilings,Low Risk,39,10,"55,492","$60,733.00 "
94133,58673_20170103,January,83,Inadequate and inaccessible handwashing facilities,Moderate Risk,104,6,"26,827","$40,990.00 "
94115,34418_20170508,May,85,Improper cooling methods,High Risk,103,4,"33,115","$54,879.00 "
